mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
39	39	345/2	345/2	1.5	3/8	3/8	9/8	2	1	vii%7	Db	#II		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
39	39	174	174	1.5	3/4	3/4	9/8	2	1	IV6	Db	#II		IV6	IV		6					M	0	0	3, 0, -1		-1	3
40	40	351/2	351/2	1.5	0	0	9/8	2	1	V7(+2)	Db	#II		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
40	40	177	177	1.5	3/8	3/8	9/8	2	1	ii65	Db	#II		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
40	40	357/2	357/2	1.5	3/4	3/4	9/8	2	1	ii43(2)	Db	#II		ii43(2)	ii		43	2				mm7	0	0	3, 0, 4, -1		2	3
41	41	180	180	9.0	0	0	9/8	2	1	ii7	Db	#II		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
43	43	189	189	3.0	0	0	9/8	2	1	I.V[V7(4)	Db	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
43	43	192	192	1.5	3/4	3/4	9/8	2	1	V7	Db	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	387/2	387/2	3.0	0	0	9/8	2	1	V7(4)	Db	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
44	44	393/2	393/2	1.5	3/4	3/4	9/8	2	1	V7	Db	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
45	45	198	198	3.0	0	0	9/8	2	1	V7(42)	Db	I	V	V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
45	45	201	201	1.5	3/4	3/4	9/8	2	1	V7	Db	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	46	405/2	405/2	3.0	0	0	9/8	2	1	V7(42)	Db	I	V	V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
46	46	411/2	411/2	1.5	3/4	3/4	9/8	2	1	V7]	Db	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	47	207	207	1.5	0	0	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
47	47	417/2	417/2	1.5	3/8	3/8	9/8	2	1	ii43	Db	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
